customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00057,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,No,Credit card (automatic),75.23,2062.31,No
CUST-00058,Male,0,Yes,No,61,Yes,No,DSL,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),53.8,3294.39,No
CUST-00059,Male,0,No,No,15,Yes,No,DSL,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.55,613.61,No
CUST-00060,Male,0,Yes,No,51,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),98.22,5050.71,Yes
CUST-00061,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,71.29,22.87,Yes
CUST-00062,Male,0,No,Yes,60,Yes,No,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),42.09,2569.56,Yes
CUST-00063,Male,0,No,Yes,3,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Electronic check,60.61,133.88,No
CUST-00064,Male,0,No,No,51,Yes,No,No,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),73.58,3767.34,Yes
CUST-00065,Female,0,No,No,40,Yes,No,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,73.52,2975.2,No
CUST-00066,Female,0,No,No,51,No,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,73.77,3755.27,Yes
CUST-00067,Male,1,No,Yes,30,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Electronic check,34.91,1063.31,No
CUST-00068,Female,1,No,No,25,No,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,One year,No,Bank transfer (automatic),73.49,1816.62,No
CUST-00069,Female,0,No,No,26,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Electronic check,52.57,1363.29,No
CUST-00070,Female,0,No,No,50,No,No,DSL,No,No internet service,Yes,No,No,No internet service,One year,Yes,Mailed check,74.71,3702.81,No
CUST-00071,Female,0,Yes,No,47,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,84.65,3951.44,Yes
CUST-00072,Male,0,No,No,10,Yes,Yes,No,No,Yes,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),41.05,449.93,No
CUST-00073,Female,1,No,Yes,7,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,30.06,231.44,Yes
CUST-00074,Male,0,Yes,Yes,11,Yes,No,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),78.44,897.05,Yes
CUST-00075,Female,1,No,Yes,44,Yes,Yes,No,No internet service,Yes,No,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),87.3,3831.96,No
CUST-00076,Female,1,Yes,No,33,Yes,No,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),104.59,3414.23,No
CUST-00077,Female,0,Yes,Yes,71,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Mailed check,42.6,3065.87,No
CUST-00078,Male,0,No,No,46,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,30.39,1444.53,No
CUST-00079,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,115.35,2342.2,Yes
CUST-00080,Male,1,No,No,40,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),22.0,886.3,No
CUST-00081,Female,0,No,No,21,Yes,No,DSL,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Electronic check,59.62,1252.13,No
CUST-00082,Male,1,Yes,Yes,20,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,Two year,No,Credit card (automatic),67.34,1386.29,No
CUST-00083,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),89.07,2396.07,No
CUST-00084,Male,0,Yes,No,66,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No internet service,One year,No,Bank transfer (automatic),99.13,6551.28,No
CUST-00085,Male,1,No,Yes,70,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.76,5154.62,No
CUST-00086,Female,0,No,No,13,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),20.89,229.42,No
CUST-00087,Male,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,One year,No,Credit card (automatic),117.81,8520.93,No
CUST-00088,Female,0,No,No,51,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,81.98,4203.2,No
CUST-00089,Female,0,No,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),101.16,4245.15,No
CUST-00090,Female,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),59.46,4128.44,Yes
CUST-00091,Female,0,Yes,No,18,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.22,385.66,Yes
CUST-00092,Female,1,Yes,Yes,26,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),26.27,699.43,No
CUST-00093,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),95.11,1660.59,No
CUST-00094,Female,0,Yes,Yes,12,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Mailed check,39.25,463.85,No
CUST-00095,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.63,0.0,Yes
CUST-00096,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Electronic check,43.24,1445.49,Yes
CUST-00097,Female,0,Yes,No,12,Yes,No,No,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.92,562.55,Yes
CUST-00098,Female,1,Yes,No,50,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,27.79,1419.88,Yes
CUST-00099,Male,0,Yes,No,0,No,Yes,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),32.05,21.47,No
CUST-00100,Male,0,No,No,27,Yes,No,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,30.72,805.35,No
CUST-00101,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.22,655.98,No
CUST-00102,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,41.68,2910.0,No
CUST-00103,Female,0,No,No,54,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,No,Yes,Two year,No,Bank transfer (automatic),20.25,1140.46,No
CUST-00104,Female,0,No,No,25,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,No,Two year,Yes,Mailed check,88.35,2202.11,No
CUST-00105,Female,0,No,Yes,13,Yes,Yes,No,No,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,79.63,1005.08,No
CUST-00106,Female,0,No,No,67,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),35.22,2321.98,No
CUST-00107,Female,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,104.22,6426.59,No
CUST-00108,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),46.57,588.92,No
CUST-00109,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.57,1896.68,Yes
CUST-00110,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),99.1,4011.03,No
CUST-00111,Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,54.92,110.56,No
CUST-00112,Female,0,No,No,58,Yes,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.1,2481.65,Yes
CUST-00113,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),104.07,2257.09,Yes
CUST-00114,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Two year,No,Mailed check,25.41,410.71,No
CUST-00115,Female,1,No,No,40,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),83.04,3333.5,Yes
CUST-00116,Male,1,No,No,7,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),101.87,757.62,Yes
CUST-00117,Female,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,89.02,2758.73,Yes
CUST-00118,Female,1,No,No,40,Yes,Yes,DSL,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),55.42,2180.78,No
CUST-00119,Male,0,Yes,No,44,No,Yes,Fiber optic,No,No,No internet service,No internet service,No,Yes,One year,No,Electronic check,113.08,5020.14,No
CUST-00120,Female,0,Yes,No,8,No,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,One year,Yes,Electronic check,31.58,298.93,No
CUST-00121,Male,0,No,No,47,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,89.15,4229.57,No
CUST-00122,Female,0,Yes,No,23,Yes,No phone service,No,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.81,2101.55,No
CUST-00123,Male,0,No,Yes,43,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),79.23,3434.63,No
CUST-00124,Male,0,No,Yes,57,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,66.56,3756.54,Yes
CUST-00125,Female,0,No,No,65,Yes,Yes,No,Yes,No,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),113.23,7342.67,No
CUST-00126,Female,0,No,Yes,17,Yes,Yes,DSL,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),64.64,1124.3,Yes
CUST-00127,Male,0,No,No,28,Yes,Yes,No,No internet service,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),51.31,1473.31,Yes
CUST-00128,Female,1,No,No,1,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),69.49,42.24,Yes
CUST-00129,Female,0,No,Yes,67,Yes,No,No,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),98.09,6584.12,Yes
CUST-00130,Female,0,No,Yes,38,Yes,No,No,Yes,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,34.3,1259.3,No
CUST-00131,Male,0,No,Yes,72,Yes,No,No,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,55.05,3999.19,No
CUST-00132,Male,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,74.57,2967.55,No
CUST-00133,Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),102.3,7130.66,No
CUST-00134,Male,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),58.03,1252.39,No
CUST-00135,Male,0,Yes,No,48,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,73.05,3473.45,Yes
CUST-00136,Male,0,No,No,27,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,No,One year,No,Credit card (automatic),30.25,812.82,Yes
CUST-00137,Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),27.41,370.71,Yes
CUST-00138,Male,0,No,No,67,Yes,No,No,Yes,No internet service,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),39.34,2630.28,No
CUST-00139,Male,0,No,No,61,Yes,No,No,No,Yes,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),86.56,5322.57,No
CUST-00140,Female,0,No,No,35,No,No,No,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),39.21,1391.71,No
CUST-00141,Male,0,No,Yes,21,Yes,No,DSL,No,No internet service,No,No internet service,Yes,No,One year,No,Mailed check,105.73,2268.77,No
CUST-00142,Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,107.87,1073.5,Yes
CUST-00143,Female,1,Yes,Yes,41,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,No,Electronic check,44.55,1865.47,Yes
CUST-00144,Female,1,No,Yes,54,No,Yes,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.53,1581.75,No
CUST-00145,Male,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,No internet service,One year,Yes,Electronic check,59.13,4216.4,No
CUST-00146,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,97.37,3358.48,No
CUST-00147,Male,0,Yes,No,56,Yes,No,No,Yes,No,No,Yes,No internet service,No,Two year,Yes,Electronic check,28.78,1650.9,No
CUST-00148,Male,0,No,No,33,Yes,No,No,No internet service,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),27.92,934.0,No
CUST-00149,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),42.47,3061.48,No
CUST-00150,Male,0,Yes,No,69,Yes,No,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Two year,No,Mailed check,87.27,6010.15,No
CUST-00151,Male,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,Yes,Two year,No,Credit card (automatic),55.43,174.92,No
CUST-00152,Male,1,No,No,45,Yes,No phone service,No,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),91.67,4148.81,No
CUST-00153,Male,0,Yes,Yes,10,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,58.48,605.66,Yes
CUST-00154,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.9,1534.03,No
CUST-00155,Female,0,No,No,34,Yes,Yes,DSL,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),117.86,4024.41,No
CUST-00156,Male,0,Yes,No,68,Yes,No phone service,No,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,86.11,5805.95,No
CUST-00157,Female,0,No,No,56,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),81.13,4510.26,No
CUST-00158,Male,0,No,No,10,Yes,No,DSL,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.35,638.69,No
CUST-00159,Female,0,No,Yes,11,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,No,One year,Yes,Electronic check,26.31,313.51,No
CUST-00160,Male,0,No,Yes,42,No,No,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),116.52,4933.54,No
CUST-00161,Male,0,No,No,18,Yes,No phone service,No,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,64.58,1121.07,No
CUST-00162,Female,0,No,No,67,Yes,No,DSL,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,22.13,1523.89,No
CUST-00163,Female,1,Yes,No,58,Yes,No,No,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),52.33,3015.8,No
CUST-00164,Female,0,No,Yes,1,No,No,Fiber optic,No internet service,No,Yes,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),21.29,33.56,No
CUST-00165,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,68.68,447.15,No
CUST-00166,Female,0,Yes,No,21,Yes,Yes,No,No internet service,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,93.41,1951.89,No
CUST-00167,Male,0,No,No,20,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),113.73,2270.8,No
CUST-00168,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),102.34,2852.98,Yes
